order id,,,date,total,shipping,shipping_refund,gift,VAT,GST,PST,refund
D01-8036143-1581066,,,2019-12-22,CDN$0.00,0,0,0,0,0,Item(s) Subtotal: CDN$ 48.81                1 Audible Credit Applied: -CDN$ 48.81                        ----          Total Before Tax: CDN$ 0.00Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 0.00,0
D01-7991763-5821025,,,2019-12-22,CDN$0.00,0,0,0,0,0,Item(s) Subtotal: CDN$ 0.00        ----          Total Before Tax: CDN$ 0.00Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 0.00,0
701-2164200-1845814,,,2019-12-05,CDN$62.69,CDN$ 0.00,0,0,CDN$ 62.69,0,CDN$ 0.00,0
701-6565022-5581029,,,2019-11-13,CDN$23.71,CDN$ 12.73,0,0,CDN$ 23.71,0,CDN$ 0.00,0
701-1345852-3714647,,,2019-11-13,CDN$41.80,CDN$ 0.00,0,0,CDN$ 36.99,0,CDN$ 0.00,0
701-1826696-2359436,,,2019-10-19,CDN$38.21,CDN$ 12.00,0,0,CDN$ 38.21,0,CDN$ 0.00,0
701-4986550-2783436,,,2019-10-17,CDN$39.70,CDN$ 6.99,0,0,CDN$ 39.70,0,CDN$ 0.00,0
701-6680863-6783424,,,2019-09-07,CDN$4.03,CDN$ 0.00,0,0,CDN$ 3.57,0,CDN$ 0.00,0
701-4002158-0660231,,,2019-07-29,CDN$38.98,CDN$ 0.00,0,0,CDN$ 38.98,0,CDN$ 0.00,0
701-0670726-1958632,,,2019-07-09,CDN$31.63,CDN$ 0.00,0,0,CDN$ 29.14,0,CDN$ 0.00,0
701-0395917-7857866,,,2019-07-01,CDN$49.05,CDN$ 0.00,0,0,CDN$ 43.41,0,CDN$ 0.00,0
D01-7291275-3213060,,,2019-06-30,CDN$0.00,0,0,0,0,0,Item(s) Subtotal: CDN$ 38.04                1 Audible Credit Applied: -CDN$ 38.04                        ----          Total Before Tax: CDN$ 0.00Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 0.00,0
D01-1884694-6835406,,,2019-06-30,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
D01-5241949-6950604,,,2019-06-19,CDN$0.00,0,0,0,0,0,Item(s) Subtotal: CDN$ 31.69                1 Audible Credit Applied: -CDN$ 31.69                        ----          Total Before Tax: CDN$ 0.00Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 0.00,0
701-7506968-0116215,,,2019-06-02,CDN$53.18,CDN$ 12.95,0,0,CDN$ 53.18,0,CDN$ 0.00,0
701-1186985-2215448,,,2019-06-02,CDN$27.11,CDN$ 0.00,0,0,CDN$ 23.99,0,CDN$ 0.00,0
D01-3476079-6336250,,,2019-05-31,CDN$0.00,0,0,0,0,0,Item(s) Subtotal: CDN$ 20.29                1 Audible Credit Applied: -CDN$ 20.29                        ----          Total Before Tax: CDN$ 0.00Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 0.00,0
D01-3201537-3347412,,,2019-05-31,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
D01-2442810-5622665,,,2019-05-29,CDN$0.00,0,0,0,0,0,Item(s) Subtotal: CDN$ 26.30                1 Audible Credit Applied: -CDN$ 26.30                        ----          Total Before Tax: CDN$ 0.00Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 0.00,0
D01-8929876-8720269,,,2019-05-21,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
701-4210133-8610628,,,2019-04-02,CDN$74.40,CDN$ 5.85,0,0,CDN$ 65.84,0,CDN$ 0.00,0
D01-0840114-3526650,,,2019-03-21,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
701-2099799-3601824,,,2019-03-08,CDN$17.88,CDN$ 5.89,0,0,CDN$ 17.88,0,CDN$ 0.00,0
701-8068697-1909056,,,2019-03-08,CDN$20.41,CDN$ 4.41,0,0,CDN$ 20.41,0,CDN$ 0.00,0
701-3901192-2749041,,,2019-03-07,CDN$22.50,CDN$ 4.51,0,0,CDN$ 22.50,0,CDN$ 0.00,0
701-0848719-3293042,,,2019-02-10,CDN$65.84,CDN$ 5.85,0,0,CDN$ 65.84,0,CDN$ 0.00,0
D01-6472430-5312252,,,2019-01-21,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
701-0667880-8339442,,,2019-05-19,CDN$19.98,CDN$ 0.00,0,0,CDN$ 19.98,0,CDN$ 0.00,0
701-7929040-4078614,,,2019-05-19,CDN$19.95,CDN$ 0.00,0,0,CDN$ 19.95,0,CDN$ 0.00,0
701-8830580-5411427,,,2019-05-13,CDN$86.87,CDN$ 23.98,0,0,CDN$ 86.87,0,CDN$ 0.00,0
701-3812481-6329801,,,2019-05-13,CDN$18.59,CDN$ 0.00,0,0,CDN$ 18.59,0,CDN$ 0.00,0
701-8841792-7278628,,,2019-05-01,CDN$9.23,CDN$ 0.00,0,0,CDN$ 9.23,0,CDN$ 0.00,0
701-2378492-0173031,,,2019-05-01,CDN$9.88,CDN$ 0.00,0,0,CDN$ 9.88,0,CDN$ 0.00,0
701-1669636-0125068,,,2019-05-01,CDN$3.67,CDN$ 0.00,0,0,CDN$ 3.67,0,CDN$ 0.00,0
701-0570551-3401030,,,2019-05-01,CDN$283.09,CDN$ 0.00,0,0,CDN$ 250.52,0,CDN$ 0.00,0
701-4736915-2993822,,,2019-04-25,CDN$352.67,CDN$ 0.00,0,0,CDN$ 312.10,0,CDN$ 0.00,0
D01-5927761-7321830,,,2019-04-21,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
701-7114613-7945067,,,2020-12-28,CDN$9.62,CDN$ 0.00,0,0,CDN$ 8.51,0,CDN$ 0.00,0
701-6966617-9039413,,,2020-12-26,CDN$18.99,CDN$ 0.00,0,0,CDN$ 18.99,0,CDN$ 0.00,0
701-7927133-7767426,,,2020-12-26,CDN$35.99,CDN$ 0.00,0,0,CDN$ 35.99,0,CDN$ 0.00,0
701-7107999-7657068,,,2020-12-08,CDN$151.61,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 151.61,0,CDN$ 0.00,0
701-1782658-5205039,,,2020-12-08,CDN$2.79,CDN$ 0.00,0,0,CDN$ 2.47,0,CDN$ 0.00,0
701-9489407-5866644,,,2020-11-16,CDN$27.99,CDN$ 0.00,0,0,CDN$ 27.99,0,CDN$ 0.00,0
702-5187523-5218647,,,2020-11-07,CDN$80.38,CDN$ 12.98,0,0,CDN$ 80.38,0,CDN$ 0.00,0
702-0017653-0447432,,,2020-10-30,CDN$51.55,CDN$ 0.00,0,0,CDN$ 49.99,0,CDN$ 0.00,0
702-7144507-7920243,,,2020-09-28,CDN$28.99,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 28.99,0,CDN$ 0.00,0
702-6714290-9057800,,,2020-09-19,CDN$13.97,CDN$ 0.00,0,0,CDN$ 13.97,0,CDN$ 0.00,0
702-7711305-3736262,,,2020-09-07,CDN$93.97,CDN$ 0.00,0,0,CDN$ 93.97,0,CDN$ 0.00,0
702-0245487-3376219,,,2020-09-02,CDN$67.96,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 67.96,0,CDN$ 0.00,0
702-1319272-2223442,,,2020-08-08,CDN$83.79,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 83.79,0,CDN$ 0.00,0
702-4875059-6147400,,,2020-08-06,CDN$50.42,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 50.42,0,CDN$ 0.00,0
702-4752760-1434666,,,2020-07-23,CDN$27.08,CDN$ 0.00,0,0,CDN$ 23.96,0,CDN$ 0.00,0
702-2758185-2968259,,,2020-06-28,CDN$28.99,CDN$ 0.00,0,0,CDN$ 28.99,0,CDN$ 0.00,0
702-3499472-3581804,,,2020-06-25,CDN$56.98,CDN$ 0.00,0,0,CDN$ 56.98,0,CDN$ 0.00,0
702-1343689-6317850,,,2020-06-21,CDN$62.14,CDN$ 0.00,0,0,CDN$ 54.99,0,CDN$ 0.00,0
702-0848895-6189837,,,2020-06-14,CDN$65.00,CDN$ 0.00,0,0,CDN$ 65.00,0,CDN$ 0.00,0
702-0227838-0031460,,,2020-06-07,CDN$16.94,CDN$ 0.00,0,0,CDN$ 14.99,0,CDN$ 0.00,0
702-2302151-6224249,,,2020-05-29,CDN$80.97,CDN$ 6.99,0,0,CDN$ 80.97,0,CDN$ 0.00,0
702-0054280-2304232,,,2020-05-25,CDN$46.95,CDN$ 0.00,0,0,CDN$ 46.95,0,CDN$ 0.00,0
D01-3829717-0893005,,,2020-05-22,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
702-9299703-6374651,,,2020-05-17,CDN$10.79,CDN$ 0.00,0,0,CDN$ 10.79,0,CDN$ 0.00,0
702-8782207-3041020,,,2020-05-17,CDN$20.23,CDN$ 0.00,0,0,CDN$ 17.90,0,CDN$ 0.00,0
702-6955367-4465859,,,2020-05-10,CDN$18.99,CDN$ 0.00,0,0,CDN$ 18.99,0,CDN$ 0.00,0
702-0790260-3533856,,,2020-05-10,CDN$23.11,CDN$ 0.00,0,0,CDN$ 20.45,0,CDN$ 0.00,0
702-4402657-7126656,,,2020-05-03,CDN$58.99,CDN$ 0.00,0,0,CDN$ 58.99,0,CDN$ 0.00,0
702-4204412-5081026,,,2020-04-25,CDN$103.22,CDN$ 0.00,0,0,CDN$ 103.22,0,CDN$ 0.00,0
D01-3975449-6409859,,,2020-04-22,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
701-2245981-9749005,,,2020-04-16,CDN$12.84,CDN$ 0.00,0,0,CDN$ 11.36,0,CDN$ 0.00,0
701-9021610-5077041,,,2020-04-15,CDN$31.52,CDN$ 0.00,0,0,CDN$ 27.90,0,CDN$ 0.00,0
701-8378993-5251430,,,2020-04-14,CDN$22.54,CDN$ 0.00,0,0,CDN$ 19.95,0,CDN$ 0.00,0
701-3055974-5410620,,,2020-04-14,CDN$87.77,CDN$ 29.00,0,0,CDN$ 87.77,0,CDN$ 0.00,0
701-4432030-2657020,,,2020-04-13,CDN$101.69,CDN$ 0.00,0,0,CDN$ 89.99,0,CDN$ 0.00,0
701-0026742-7008230,,,2020-04-03,CDN$75.69,CDN$ 6.99,0,0,CDN$ 74.46,0,CDN$ 0.00,0
701-8639580-9041048,,,2020-03-24,CDN$18.96,CDN$ 0.00,0,0,CDN$ 18.96,0,CDN$ 0.00,0
D01-2441184-7949026,,,2020-03-22,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
D01-5984028-5811412,,,2020-02-22,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
D01-1119863-6934601,,,2020-01-22,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
701-3052522-6854643,,,2020-01-04,CDN$29.84,CDN$ 6.99,0,0,CDN$ 29.84,0,CDN$ 0.00,0
701-0705574-0033867,,,2021-12-29,CDN$45.19,CDN$ 0.00,0,0,CDN$ 39.99,0,CDN$ 0.00,0
702-6041686-6227454,,,2021-12-20,CDN$86.36,CDN$ 0.00,0,0,CDN$ 76.42,0,CDN$ 0.00,0
702-7769471-0172229,,,2021-12-15,CDN$21.35,CDN$ 0.00,0,0,CDN$ 18.89,0,CDN$ 0.00,0
